_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,1.13,0.81,0.54,1.26,1.24,0.95
OLS,RESIDUAL,1,0.16,0.25,0.17,0.01,-0.13,-0.07
OLS,RESIDUAL,1,-0.09,0.04,-0.19,-0.10,0.28,0.46
OLS,RESIDUAL,1,-0.04,-0.15,-0.08,0.07,-0.11,0.17
OLS,RESIDUAL,1,0.31,0.47,-0.16,0.09,0.16,0.40
OLS,RESIDUAL,1,0.10,0.83,-0.19,0.16,0.20,0.71
OLS,RESIDUAL,1,-0.21,0.24,-0.14,0.02,0.04,0.23
OLS,RESIDUAL,1,0.13,0.06,0.10,-0.06,-0.10,0.05
OLS,RESIDUAL,1,0.07,0.41,-0.23,0.14,0.13,0.24
OLS,RESIDUAL,1,-0.11,0.06,0.03,-0.09,0.06,-0.05
OLS,RESIDUAL,1,-0.10,-0.26,-0.01,-0.00,-0.09,-0.41
OLS,RESIDUAL,1,-0.05,-0.31,0.12,-0.28,-0.19,-0.48
OLS,RESIDUAL,1,0.04,-0.03,0.30,0.06,0.03,-0.09
OLS,RESIDUAL,1,-0.04,0.07,0.09,0.11,0.11,0.42
OLS,RESIDUAL,1,0.03,-0.13,-0.22,0.09,0.08,-0.08
OLS,RESIDUAL,1,-0.06,-0.65,0.22,-0.11,-0.17,-0.91
OLS,RESIDUAL,1,0.07,0.20,-0.01,-0.02,-0.07,0.08
OLS,RESIDUAL,1,-0.06,-0.08,0.05,0.01,-0.02,0.09
OLS,RESIDUAL,1,0.02,0.04,-0.06,0.08,0.03,-0.02
OLS,RESIDUAL,1,0.10,0.30,-0.03,0.03,-0.01,0.13
OLS,RESIDUAL,1,0.13,0.23,-0.15,0.08,0.18,0.46
OLS,RESIDUAL,1,-0.17,-0.42,0.12,-0.09,-0.09,-0.34
OLS,RESIDUAL,1,-0.01,-0.10,0.12,-0.06,-0.17,-0.17
OLS,RESIDUAL,1,-0.14,0.01,-0.14,0.06,0.13,0.21
OLS,RESIDUAL,1,0.22,0.20,-0.06,0.10,0.07,0.14
OLS,RESIDUAL,1,0.03,-0.06,0.12,-0.06,-0.05,-0.07
OLS,RESIDUAL,1,-0.27,-0.15,0.04,-0.12,-0.14,-0.51
OLS,RESIDUAL,1,0.18,0.03,0.02,0.06,0.08,0.09
OLS,RESIDUAL,1,0.01,-0.12,0.01,0.01,-0.06,0.08
OLS,RESIDUAL,1,0.18,0.59,-0.12,0.13,0.18,0.38
OLS,RESIDUAL,1,0.02,0.44,-0.17,0.13,0.15,0.61
OLS,RESIDUAL,1,0.06,-0.12,-0.12,-0.05,-0.06,0.04
OLS,RESIDUAL,1,-0.09,0.42,0.03,-0.06,0.11,-0.00
OLS,RESIDUAL,1,0.07,-0.15,0.04,-0.01,-0.13,-0.31
OLS,RESIDUAL,1,-0.04,0.23,-0.01,0.13,0.10,0.20
OLS,RESIDUAL,1,0.06,0.21,-0.14,0.03,0.08,0.38
OLS,RESIDUAL,1,0.07,0.25,-0.01,0.02,-0.02,0.20
OLS,RESIDUAL,1,-0.07,-0.28,0.02,-0.04,-0.12,-0.27
OLS,RESIDUAL,1,-0.39,-0.02,0.13,-0.12,0.00,-0.25
OLS,RESIDUAL,1,0.35,-0.54,0.05,-0.14,-0.10,-0.73
OLS,RESIDUAL,1,-0.06,0.07,0.09,0.14,0.05,0.08
OLS,RESIDUAL,1,0.05,0.02,-0.05,0.05,0.06,0.25
OLS,RESIDUAL,1,0.06,0.38,-0.07,0.04,0.06,0.16
