_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,1.13,0.81,0.54,1.26,1.24,0.95
OLS,RESIDUAL,1,0.37,-0.11,0.54,0.16,0.12,-0.39
OLS,RESIDUAL,1,0.06,0.18,-0.04,-0.08,0.32,0.59
OLS,RESIDUAL,1,-0.05,-0.21,-0.06,0.03,0.01,0.12
OLS,RESIDUAL,1,0.31,0.52,-0.20,0.10,0.18,0.49
OLS,RESIDUAL,1,0.16,0.75,-0.21,0.15,0.20,0.65
OLS,RESIDUAL,1,-0.19,0.25,-0.17,0.02,0.05,0.22
OLS,RESIDUAL,1,0.09,0.16,0.03,-0.06,-0.07,0.14
OLS,RESIDUAL,1,0.11,0.43,-0.22,0.12,0.08,0.27
OLS,RESIDUAL,1,-0.10,0.05,-0.02,-0.07,0.06,-0.07
OLS,RESIDUAL,1,-0.13,-0.20,-0.03,-0.01,-0.04,-0.36
OLS,RESIDUAL,1,-0.09,-0.26,0.08,-0.27,-0.16,-0.44
OLS,RESIDUAL,1,0.01,0.00,0.29,0.02,0.00,-0.07
OLS,RESIDUAL,1,-0.08,0.01,0.19,0.11,0.08,0.34
OLS,RESIDUAL,1,-0.02,-0.16,-0.13,0.10,0.08,-0.11
OLS,RESIDUAL,1,-0.05,-0.62,0.18,-0.08,-0.11,-0.85
OLS,RESIDUAL,1,0.08,0.26,-0.00,-0.01,-0.04,0.14
OLS,RESIDUAL,1,-0.07,-0.18,0.07,-0.01,-0.09,-0.03
OLS,RESIDUAL,1,0.01,0.08,-0.05,0.08,-0.00,0.01
OLS,RESIDUAL,1,0.10,0.28,-0.04,0.05,-0.03,0.12
OLS,RESIDUAL,1,0.16,0.23,-0.15,0.08,0.13,0.44
OLS,RESIDUAL,1,-0.13,-0.43,0.09,-0.09,-0.07,-0.36
OLS,RESIDUAL,1,-0.02,-0.01,0.11,-0.06,-0.14,-0.06
OLS,RESIDUAL,1,-0.16,-0.03,-0.11,0.04,0.06,0.18
OLS,RESIDUAL,1,0.16,0.20,-0.09,0.11,0.10,0.13
OLS,RESIDUAL,1,0.08,-0.08,0.10,-0.05,-0.04,-0.08
OLS,RESIDUAL,1,-0.23,-0.12,0.06,-0.14,-0.16,-0.49
OLS,RESIDUAL,1,0.12,0.10,0.00,0.05,0.06,0.14
