_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,1.13,0.81,0.54,1.26,1.24,0.95
OLS,RESIDUAL,1,0.26,0.12,0.07,0.19,-1.07,-0.21
OLS,RESIDUAL,1,0.89,0.44,0.72,0.90,0.52,0.91
OLS,RESIDUAL,1,0.27,-0.19,-0.09,0.39,-0.81,0.08
OLS,RESIDUAL,1,1.09,0.80,0.71,0.82,0.60,0.77
OLS,RESIDUAL,1,0.47,0.74,-0.28,0.69,-0.70,0.65
OLS,RESIDUAL,1,0.72,0.52,0.77,0.60,-0.30,0.55
OLS,RESIDUAL,1,0.57,0.19,0.12,0.62,-0.73,0.19
OLS,RESIDUAL,1,0.76,0.64,0.54,0.63,-0.12,0.49
OLS,RESIDUAL,1,0.47,0.12,0.23,0.57,-0.59,0.03
OLS,RESIDUAL,1,0.60,-0.02,0.62,0.52,-0.03,-0.16
OLS,RESIDUAL,1,0.45,-0.20,0.37,0.37,-0.02,-0.39
OLS,RESIDUAL,1,0.66,0.11,0.82,0.58,0.58,0.03
OLS,RESIDUAL,1,0.46,0.09,0.32,0.55,0.10,0.40
OLS,RESIDUAL,1,0.62,0.03,0.50,0.57,0.15,0.06
OLS,RESIDUAL,1,0.41,-0.54,0.58,0.44,0.03,-0.77
OLS,RESIDUAL,1,0.72,0.39,0.47,0.57,0.92,0.25
OLS,RESIDUAL,1,0.41,-0.14,0.37,0.57,0.07,0.00
OLS,RESIDUAL,1,0.69,0.24,0.49,0.56,0.42,0.17
OLS,RESIDUAL,1,0.54,0.35,0.29,0.66,0.04,0.19
OLS,RESIDUAL,1,0.78,0.36,0.36,0.59,0.09,0.60
OLS,RESIDUAL,1,0.38,-0.30,0.48,0.54,-0.38,-0.24
OLS,RESIDUAL,1,0.73,0.14,0.62,0.46,0.28,0.08
OLS,RESIDUAL,1,0.31,0.04,0.19,0.68,0.05,0.23
OLS,RESIDUAL,1,0.85,0.35,0.52,0.52,0.35,0.27
OLS,RESIDUAL,1,0.40,-0.00,0.35,0.67,-0.18,0.01
OLS,RESIDUAL,1,0.51,0.05,0.61,0.33,0.06,-0.32
OLS,RESIDUAL,1,0.59,0.14,0.35,0.77,0.41,0.20
OLS,RESIDUAL,1,0.53,-0.05,0.46,0.38,0.02,0.10
OLS,RESIDUAL,1,0.75,0.75,0.31,0.87,0.40,0.53
OLS,RESIDUAL,1,0.55,0.44,0.21,0.53,-0.36,0.65
OLS,RESIDUAL,1,0.71,0.10,0.41,0.69,-0.34,0.27
OLS,RESIDUAL,1,0.47,0.58,0.37,0.44,-0.19,0.18
OLS,RESIDUAL,1,0.71,-0.04,0.50,0.63,-0.18,-0.15
OLS,RESIDUAL,1,0.49,0.40,0.38,0.56,0.09,0.34
OLS,RESIDUAL,1,0.71,0.29,0.31,0.67,0.03,0.46
OLS,RESIDUAL,1,0.56,0.38,0.42,0.55,-0.22,0.33
OLS,RESIDUAL,1,0.59,-0.14,0.45,0.56,-0.37,-0.09
OLS,RESIDUAL,1,0.19,0.17,0.59,0.41,-0.02,-0.07
OLS,RESIDUAL,1,0.84,-0.45,0.43,0.46,0.16,-0.63
OLS,RESIDUAL,1,0.30,0.21,0.54,0.60,0.61,0.17
OLS,RESIDUAL,1,0.82,0.03,0.26,0.58,0.35,0.23
OLS,RESIDUAL,1,0.42,0.50,0.43,0.63,0.17,0.27
OLS,RESIDUAL,1,0.84,0.20,0.19,0.57,-0.04,0.43
OLS,RESIDUAL,1,0.28,-0.01,0.65,0.53,-0.19,0.09
OLS,RESIDUAL,1,0.79,-0.04,0.58,0.55,0.07,-0.29
OLS,RESIDUAL,1,0.41,0.20,0.27,0.62,0.20,0.40
OLS,RESIDUAL,1,0.74,0.21,0.47,0.59,0.12,0.20
OLS,RESIDUAL,1,0.55,0.02,0.30,0.66,-0.10,0.09
OLS,RESIDUAL,1,0.55,-0.00,0.59,0.40,0.09,0.10
OLS,RESIDUAL,1,0.43,0.21,0.36,0.66,0.18,-0.06
OLS,RESIDUAL,1,0.71,-0.06,0.55,0.44,0.18,0.06
OLS,RESIDUAL,1,0.43,-0.04,0.40,0.64,0.20,0.01
OLS,RESIDUAL,1,0.79,0.48,0.43,0.54,0.39,0.36
OLS,RESIDUAL,1,0.47,0.25,0.27,0.75,-0.14,0.20
OLS,RESIDUAL,1,0.73,0.17,0.41,0.50,0.05,0.65
OLS,RESIDUAL,1,0.39,-0.02,0.37,0.59,-0.37,-0.34
OLS,RESIDUAL,1,0.69,0.29,0.48,0.44,0.29,0.20
OLS,RESIDUAL,1,0.43,-0.04,0.41,0.64,-0.05,-0.02
OLS,RESIDUAL,1,0.77,0.44,0.39,0.48,0.26,0.36
OLS,RESIDUAL,1,0.51,0.39,0.25,0.81,-0.05,0.40
OLS,RESIDUAL,1,0.76,0.41,0.43,0.42,-0.18,0.41
OLS,RESIDUAL,1,0.55,0.33,0.36,0.82,-0.23,0.37
