_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,1.13,0.81,0.54,1.26,1.24,0.95
OLS,RESIDUAL,1,-0.69,-0.00,0.58,-0.77,0.07,-0.32
OLS,RESIDUAL,1,0.84,0.49,0.34,0.81,1.10,0.93
OLS,RESIDUAL,1,-0.28,-0.35,0.56,-0.41,0.17,0.03
OLS,RESIDUAL,1,0.88,0.79,0.26,0.76,1.00,0.83
OLS,RESIDUAL,1,0.19,0.67,0.45,-0.21,0.57,0.56
OLS,RESIDUAL,1,0.36,0.47,0.38,-0.03,0.82,0.50
OLS,RESIDUAL,1,0.42,0.13,0.67,-0.15,0.40,0.17
OLS,RESIDUAL,1,0.41,0.59,0.28,-0.06,0.81,0.43
OLS,RESIDUAL,1,0.47,0.08,0.67,-0.15,0.45,-0.01
OLS,RESIDUAL,1,0.18,-0.10,0.44,-0.23,0.61,-0.25
OLS,RESIDUAL,1,0.49,-0.23,0.67,0.01,0.28,-0.40
OLS,RESIDUAL,1,0.30,0.07,0.73,-0.06,0.69,-0.06
OLS,RESIDUAL,1,0.03,0.07,0.67,-0.26,0.45,0.39
OLS,RESIDUAL,1,0.18,-0.00,0.43,-0.04,0.71,0.11
OLS,RESIDUAL,1,0.27,-0.61,0.81,0.03,0.31,-0.81
OLS,RESIDUAL,1,0.24,0.34,0.40,0.24,0.66,0.16
OLS,RESIDUAL,1,0.15,-0.13,0.69,0.06,0.48,0.00
OLS,RESIDUAL,1,0.07,0.16,0.42,0.12,0.62,0.13
OLS,RESIDUAL,1,0.35,0.35,0.57,0.33,0.52,0.19
OLS,RESIDUAL,1,0.15,0.31,0.37,0.05,0.79,0.51
OLS,RESIDUAL,1,0.26,-0.36,0.71,0.00,0.38,-0.21
OLS,RESIDUAL,1,0.20,0.07,0.57,0.08,0.55,0.02
OLS,RESIDUAL,1,0.06,0.03,0.45,0.08,0.57,0.23
OLS,RESIDUAL,1,0.34,0.27,0.48,0.37,0.63,0.25
OLS,RESIDUAL,1,0.12,-0.02,0.65,0.05,0.56,-0.02
OLS,RESIDUAL,1,-0.08,-0.04,0.56,-0.01,0.42,-0.38
OLS,RESIDUAL,1,0.31,0.14,0.55,0.44,0.66,0.15
OLS,RESIDUAL,1,-0.08,-0.13,0.56,0.04,0.45,0.05
OLS,RESIDUAL,1,0.41,0.72,0.40,0.53,0.76,0.55
OLS,RESIDUAL,1,0.01,0.41,0.45,0.03,0.68,0.57
OLS,RESIDUAL,1,0.28,0.03,0.42,0.12,0.53,0.26
OLS,RESIDUAL,1,0.34,0.54,0.55,0.17,0.69,0.18
OLS,RESIDUAL,1,0.07,-0.11,0.56,-0.27,0.45,-0.31
OLS,RESIDUAL,1,0.53,0.42,0.50,0.34,0.67,0.37
OLS,RESIDUAL,1,0.06,0.19,0.45,-0.16,0.64,0.34
OLS,RESIDUAL,1,0.48,0.37,0.54,0.16,0.56,0.39
OLS,RESIDUAL,1,0.09,-0.21,0.58,-0.26,0.50,-0.18
OLS,RESIDUAL,1,0.09,0.13,0.63,0.11,0.42,-0.07
OLS,RESIDUAL,1,0.05,-0.49,0.57,-0.07,0.49,-0.72
OLS,RESIDUAL,1,0.47,0.17,0.57,0.51,0.47,0.14
OLS,RESIDUAL,1,-0.05,-0.00,0.49,0.04,0.72,0.18
OLS,RESIDUAL,1,0.31,0.44,0.47,0.33,0.48,0.29
OLS,RESIDUAL,1,0.20,0.19,0.39,0.08,0.76,0.35
OLS,RESIDUAL,1,0.22,-0.11,0.70,0.03,0.42,0.08
OLS,RESIDUAL,1,0.08,-0.07,0.72,0.01,0.58,-0.31
OLS,RESIDUAL,1,0.13,0.16,0.36,0.16,0.55,0.33
OLS,RESIDUAL,1,0.35,0.17,0.59,0.35,0.60,0.22
OLS,RESIDUAL,1,0.07,-0.03,0.46,0.04,0.58,0.03
OLS,RESIDUAL,1,0.32,-0.06,0.64,0.26,0.52,0.09
OLS,RESIDUAL,1,-0.12,0.14,0.52,-0.03,0.58,-0.10
OLS,RESIDUAL,1,0.29,-0.08,0.60,0.30,0.49,0.01
OLS,RESIDUAL,1,0.05,-0.10,0.57,0.08,0.64,-0.02
OLS,RESIDUAL,1,0.29,0.41,0.49,0.29,0.53,0.32
OLS,RESIDUAL,1,0.14,0.26,0.50,0.12,0.73,0.18
OLS,RESIDUAL,1,0.21,0.07,0.43,0.17,0.56,0.56
OLS,RESIDUAL,1,0.18,-0.05,0.58,0.08,0.47,-0.25
OLS,RESIDUAL,1,0.21,0.21,0.44,0.17,0.59,0.06
OLS,RESIDUAL,1,0.20,-0.05,0.66,0.10,0.49,-0.02
OLS,RESIDUAL,1,0.18,0.37,0.38,0.09,0.64,0.30
OLS,RESIDUAL,1,0.40,0.38,0.49,0.24,0.66,0.39
OLS,RESIDUAL,1,0.19,0.33,0.48,-0.07,0.61,0.34
OLS,RESIDUAL,1,0.42,0.30,0.54,0.06,0.66,0.36
OLS,RESIDUAL,1,0.04,-0.66,0.81,-0.33,0.35,-0.76
OLS,RESIDUAL,1,0.33,-0.21,0.51,0.33,0.49,-0.04
OLS,RESIDUAL,1,0.40,0.51,0.41,0.48,0.72,0.40
OLS,RESIDUAL,1,0.43,0.89,0.25,0.35,0.88,0.99
OLS,RESIDUAL,1,0.16,0.07,0.58,-0.12,0.55,0.09
OLS,RESIDUAL,1,0.04,-0.45,0.54,-0.29,0.23,-0.43
OLS,RESIDUAL,1,0.65,0.56,0.66,0.48,0.76,0.05
OLS,RESIDUAL,1,-0.28,-0.22,0.53,-0.56,0.46,-0.20
OLS,RESIDUAL,1,0.65,0.14,0.39,0.49,0.57,0.50
OLS,RESIDUAL,1,0.27,0.45,0.47,0.07,0.72,0.39
