_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,1.13,0.81,0.54,1.26,1.24,0.95
OLS,RESIDUAL,1,0.25,0.13,0.15,0.18,-1.08,-0.16
OLS,RESIDUAL,1,0.90,0.43,0.65,0.92,0.51,0.90
OLS,RESIDUAL,1,0.26,-0.17,0.02,0.36,-0.82,0.11
OLS,RESIDUAL,1,1.09,0.80,0.63,0.85,0.59,0.75
OLS,RESIDUAL,1,0.45,0.75,-0.15,0.64,-0.69,0.70
OLS,RESIDUAL,1,0.73,0.51,0.70,0.66,-0.32,0.52
OLS,RESIDUAL,1,0.56,0.20,0.21,0.56,-0.74,0.23
OLS,RESIDUAL,1,0.76,0.65,0.49,0.69,-0.10,0.49
OLS,RESIDUAL,1,0.45,0.12,0.30,0.50,-0.60,0.06
OLS,RESIDUAL,1,0.60,-0.01,0.58,0.59,0.00,-0.15
OLS,RESIDUAL,1,0.44,-0.20,0.41,0.30,-0.00,-0.34
OLS,RESIDUAL,1,0.67,0.12,0.80,0.64,0.64,0.06
OLS,RESIDUAL,1,0.45,0.09,0.36,0.48,0.07,0.44
OLS,RESIDUAL,1,0.63,0.04,0.49,0.63,0.14,0.05
OLS,RESIDUAL,1,0.40,-0.53,0.60,0.37,0.01,-0.73
OLS,RESIDUAL,1,0.72,0.41,0.45,0.64,0.99,0.31
OLS,RESIDUAL,1,0.40,-0.15,0.41,0.50,0.03,0.02
OLS,RESIDUAL,1,0.69,0.26,0.47,0.62,0.44,0.19
OLS,RESIDUAL,1,0.53,0.35,0.32,0.59,0.02,0.22
OLS,RESIDUAL,1,0.78,0.37,0.37,0.65,0.12,0.63
OLS,RESIDUAL,1,0.37,-0.30,0.51,0.48,-0.42,-0.24
OLS,RESIDUAL,1,0.73,0.16,0.61,0.52,0.34,0.12
OLS,RESIDUAL,1,0.30,0.03,0.21,0.62,0.02,0.26
OLS,RESIDUAL,1,0.86,0.37,0.52,0.58,0.38,0.28
OLS,RESIDUAL,1,0.38,-0.00,0.37,0.61,-0.21,0.05
OLS,RESIDUAL,1,0.52,0.06,0.61,0.39,0.09,-0.30
OLS,RESIDUAL,1,0.57,0.13,0.35,0.71,0.39,0.24
OLS,RESIDUAL,1,0.54,-0.04,0.49,0.43,0.06,0.13
OLS,RESIDUAL,1,0.74,0.74,0.29,0.82,0.35,0.54
OLS,RESIDUAL,1,0.55,0.45,0.28,0.57,-0.33,0.70
OLS,RESIDUAL,1,0.70,0.09,0.37,0.65,-0.42,0.24
OLS,RESIDUAL,1,0.47,0.61,0.44,0.47,-0.12,0.22
OLS,RESIDUAL,1,0.71,-0.06,0.46,0.61,-0.24,-0.15
OLS,RESIDUAL,1,0.48,0.43,0.44,0.58,0.17,0.39
OLS,RESIDUAL,1,0.72,0.27,0.28,0.66,-0.03,0.45
OLS,RESIDUAL,1,0.54,0.40,0.48,0.55,-0.19,0.36
OLS,RESIDUAL,1,0.59,-0.15,0.42,0.56,-0.41,-0.08
OLS,RESIDUAL,1,0.17,0.19,0.63,0.41,0.04,-0.03
OLS,RESIDUAL,1,0.85,-0.46,0.40,0.47,0.12,-0.62
OLS,RESIDUAL,1,0.28,0.23,0.58,0.59,0.71,0.25
OLS,RESIDUAL,1,0.84,0.02,0.25,0.60,0.31,0.23
OLS,RESIDUAL,1,0.40,0.52,0.48,0.61,0.20,0.30
OLS,RESIDUAL,1,0.86,0.19,0.18,0.59,-0.07,0.44
OLS,RESIDUAL,1,0.25,-0.00,0.69,0.50,-0.18,0.11
OLS,RESIDUAL,1,0.81,-0.03,0.55,0.58,0.06,-0.27
OLS,RESIDUAL,1,0.38,0.21,0.30,0.58,0.22,0.45
OLS,RESIDUAL,1,0.76,0.21,0.47,0.62,0.11,0.19
OLS,RESIDUAL,1,0.52,0.03,0.33,0.62,-0.11,0.14
OLS,RESIDUAL,1,0.57,0.01,0.59,0.43,0.12,0.11
OLS,RESIDUAL,1,0.41,0.21,0.37,0.63,0.16,-0.04
OLS,RESIDUAL,1,0.73,-0.05,0.56,0.47,0.21,0.10
OLS,RESIDUAL,1,0.41,-0.04,0.40,0.61,0.17,0.03
OLS,RESIDUAL,1,0.81,0.49,0.46,0.57,0.43,0.39
OLS,RESIDUAL,1,0.44,0.24,0.28,0.72,-0.18,0.22
OLS,RESIDUAL,1,0.75,0.18,0.43,0.53,0.08,0.67
OLS,RESIDUAL,1,0.37,-0.02,0.37,0.56,-0.42,-0.35
OLS,RESIDUAL,1,0.70,0.30,0.49,0.46,0.36,0.26
OLS,RESIDUAL,1,0.41,-0.05,0.42,0.62,-0.08,-0.01
OLS,RESIDUAL,1,0.78,0.45,0.40,0.50,0.29,0.39
OLS,RESIDUAL,1,0.49,0.38,0.27,0.79,-0.08,0.42
OLS,RESIDUAL,1,0.77,0.42,0.45,0.44,-0.16,0.43
OLS,RESIDUAL,1,0.53,0.32,0.36,0.79,-0.26,0.38
OLS,RESIDUAL,1,0.51,-0.57,0.75,0.25,-0.51,-0.68
OLS,RESIDUAL,1,0.52,-0.14,0.46,0.79,0.59,0.05
OLS,RESIDUAL,1,0.81,0.54,0.24,0.55,0.48,0.41
OLS,RESIDUAL,1,0.80,0.94,0.14,1.04,0.23,1.10
OLS,RESIDUAL,1,0.47,0.10,0.38,0.34,-0.91,0.08
OLS,RESIDUAL,1,0.41,-0.33,0.59,0.42,-0.37,-0.31
OLS,RESIDUAL,1,0.68,0.56,0.54,0.60,0.49,0.05
OLS,RESIDUAL,1,0.48,-0.15,0.37,0.47,-0.08,0.05
OLS,RESIDUAL,1,0.61,0.15,0.40,0.65,0.36,0.41
OLS,RESIDUAL,1,0.70,0.54,0.25,0.62,0.11,0.46
OLS,RESIDUAL,1,0.55,-0.25,0.48,0.57,-0.30,-0.04
OLS,RESIDUAL,1,0.50,0.16,0.49,0.51,0.22,0.18
OLS,RESIDUAL,1,0.61,-0.09,0.49,0.47,0.04,-0.14
OLS,RESIDUAL,1,0.50,0.01,0.52,0.60,0.34,0.19
OLS,RESIDUAL,1,0.65,0.24,0.33,0.56,0.27,0.15
OLS,RESIDUAL,1,0.60,0.42,0.31,0.69,0.19,0.25
OLS,RESIDUAL,1,0.66,-0.18,0.45,0.50,-0.07,0.12
OLS,RESIDUAL,1,0.53,0.38,0.50,0.62,0.17,0.18
OLS,RESIDUAL,1,0.74,-0.00,0.33,0.54,-0.04,0.20
OLS,RESIDUAL,1,0.60,0.66,0.29,0.79,0.23,0.72
OLS,RESIDUAL,1,0.85,0.63,0.12,0.66,-0.25,0.81
OLS,RESIDUAL,1,0.16,-0.23,1.06,0.34,-0.88,-0.24
OLS,RESIDUAL,1,0.66,-0.45,0.06,0.60,-0.14,-0.65
OLS,RESIDUAL,1,0.50,0.28,0.87,0.45,0.86,0.52
OLS,RESIDUAL,1,0.72,0.05,0.03,0.72,-0.07,-0.01
OLS,RESIDUAL,1,0.52,0.22,0.77,0.42,0.25,0.29
OLS,RESIDUAL,1,0.67,0.10,0.13,0.78,0.01,0.16
OLS,RESIDUAL,1,0.58,0.36,0.51,0.44,0.16,0.28
OLS,RESIDUAL,1,0.64,0.05,0.29,0.76,-0.06,0.11
OLS,RESIDUAL,1,0.42,-0.07,0.67,0.25,-0.08,0.10
OLS,RESIDUAL,1,0.63,-0.04,0.43,0.75,0.20,-0.30
OLS,RESIDUAL,1,0.53,0.05,0.52,0.35,0.32,0.11
OLS,RESIDUAL,1,0.73,0.56,0.26,0.87,0.45,0.50
OLS,RESIDUAL,1,0.54,0.07,0.52,0.37,-0.33,0.18
OLS,RESIDUAL,1,0.48,-0.19,0.55,0.63,-0.11,-0.23
OLS,RESIDUAL,1,0.61,0.02,0.44,0.46,0.36,0.09
OLS,RESIDUAL,1,0.24,-0.28,0.72,0.50,0.11,-0.40
OLS,RESIDUAL,1,0.85,0.12,0.31,0.58,0.64,0.25
OLS,RESIDUAL,1,0.37,0.17,0.43,0.66,0.17,0.27
OLS,RESIDUAL,1,0.77,0.50,0.34,0.52,0.21,0.38
OLS,RESIDUAL,1,0.32,-0.34,0.59,0.53,-0.38,-0.30
OLS,RESIDUAL,1,0.80,-0.08,0.44,0.53,0.44,0.25
OLS,RESIDUAL,1,0.32,-0.05,0.43,0.57,0.12,-0.34
OLS,RESIDUAL,1,0.83,0.24,0.51,0.58,0.65,0.38
OLS,RESIDUAL,1,0.41,0.06,0.33,0.61,-0.10,0.17
OLS,RESIDUAL,1,0.79,0.71,0.38,0.59,0.31,0.80
OLS,RESIDUAL,1,0.42,-0.11,0.39,0.61,-0.57,-0.23
OLS,RESIDUAL,1,0.66,-0.05,0.65,0.42,0.16,-0.02
OLS,RESIDUAL,1,0.44,0.17,0.41,0.68,0.28,0.20
OLS,RESIDUAL,1,0.73,0.12,0.39,0.49,0.19,0.23
OLS,RESIDUAL,1,0.51,0.33,0.42,0.75,0.12,0.23
OLS,RESIDUAL,1,0.58,0.13,0.40,0.33,-0.14,-0.04
OLS,RESIDUAL,1,0.50,-0.71,0.56,0.69,0.01,-0.32
OLS,RESIDUAL,1,0.62,0.31,0.50,0.38,0.65,0.27
OLS,RESIDUAL,1,0.45,-0.10,0.44,0.71,0.09,-0.19
OLS,RESIDUAL,1,0.68,0.14,0.54,0.38,0.37,0.23
OLS,RESIDUAL,1,0.55,0.47,0.23,0.82,0.20,0.36
OLS,RESIDUAL,1,0.58,0.15,0.52,0.44,-0.09,0.23
OLS,RESIDUAL,1,0.56,-0.19,0.35,0.70,-0.00,-0.01
OLS,RESIDUAL,1,0.60,0.13,0.61,0.41,0.23,0.01
OLS,RESIDUAL,1,0.55,-0.05,0.39,0.65,0.12,0.09
OLS,RESIDUAL,1,0.55,0.00,0.43,0.48,0.15,0.06
OLS,RESIDUAL,1,0.60,0.29,0.40,0.68,0.37,0.27
OLS,RESIDUAL,1,0.59,0.21,0.45,0.49,-0.07,-0.14
OLS,RESIDUAL,1,0.54,-0.45,0.56,0.56,0.04,0.10
OLS,RESIDUAL,1,0.53,-0.04,0.57,0.44,0.29,-0.10
OLS,RESIDUAL,1,0.54,0.05,0.35,0.69,0.41,0.15
OLS,RESIDUAL,1,0.62,0.25,0.49,0.45,0.23,0.10
OLS,RESIDUAL,1,0.59,0.26,0.30,0.74,0.14,0.35
OLS,RESIDUAL,1,0.56,0.14,0.54,0.42,-0.12,0.06
OLS,RESIDUAL,1,0.51,-0.21,0.38,0.62,-0.08,-0.28
OLS,RESIDUAL,1,0.58,0.25,0.59,0.43,0.48,0.23
OLS,RESIDUAL,1,0.60,0.16,0.25,0.75,0.14,0.16
OLS,RESIDUAL,1,0.58,0.19,0.49,0.49,0.07,0.11
OLS,RESIDUAL,1,0.61,0.06,0.34,0.68,0.13,0.00
OLS,RESIDUAL,1,0.55,-0.07,0.53,0.47,0.20,0.08
OLS,RESIDUAL,1,0.62,-0.00,0.42,0.68,0.29,0.02
OLS,RESIDUAL,1,0.43,-0.18,0.59,0.33,0.10,-0.15
OLS,RESIDUAL,1,0.65,0.16,0.39,0.69,0.48,-0.00
OLS,RESIDUAL,1,0.51,0.09,0.49,0.44,0.18,0.12
OLS,RESIDUAL,1,0.60,0.25,0.40,0.70,0.26,0.31
OLS,RESIDUAL,1,0.57,0.03,0.45,0.49,-0.13,0.19
OLS,RESIDUAL,1,0.56,0.25,0.45,0.64,0.10,0.14
OLS,RESIDUAL,1,0.52,-0.12,0.40,0.51,-0.07,-0.14
OLS,RESIDUAL,1,0.60,-0.29,0.51,0.56,0.33,-0.11
OLS,RESIDUAL,1,0.49,0.21,0.53,0.47,0.45,0.15
OLS,RESIDUAL,1,0.61,-0.11,0.44,0.69,0.20,0.10
OLS,RESIDUAL,1,0.45,-0.15,0.58,0.36,0.10,-0.46
OLS,RESIDUAL,1,0.58,-0.04,0.55,0.65,0.59,0.19
OLS,RESIDUAL,1,0.48,-0.09,0.43,0.44,0.17,-0.33
OLS,RESIDUAL,1,0.61,0.05,0.60,0.62,0.60,0.07
OLS,RESIDUAL,1,0.51,-0.03,0.29,0.54,0.20,0.11
OLS,RESIDUAL,1,0.61,0.32,0.58,0.63,0.40,0.28
OLS,RESIDUAL,1,0.55,0.18,0.33,0.51,-0.12,0.06
OLS,RESIDUAL,1,0.58,-0.01,0.58,0.59,0.10,0.12
OLS,RESIDUAL,1,0.51,-0.02,0.42,0.48,0.03,-0.02
OLS,RESIDUAL,1,0.60,-0.06,0.56,0.62,0.27,0.05
OLS,RESIDUAL,1,0.53,-0.02,0.30,0.54,0.17,0.14
OLS,RESIDUAL,1,0.49,-0.03,0.85,0.46,0.20,0.01
OLS,RESIDUAL,1,0.58,0.01,0.25,0.64,0.11,0.08
OLS,RESIDUAL,1,0.52,-0.04,0.68,0.45,0.18,0.14
OLS,RESIDUAL,1,0.52,-0.27,0.40,0.59,0.08,-0.24
OLS,RESIDUAL,1,0.57,0.25,0.60,0.47,0.55,0.22
OLS,RESIDUAL,1,0.55,0.15,0.24,0.69,0.13,0.11
OLS,RESIDUAL,1,0.66,0.39,0.54,0.48,0.22,0.41
OLS,RESIDUAL,1,0.57,0.20,0.26,0.71,-0.19,0.11
OLS,RESIDUAL,1,0.53,-0.10,0.73,0.41,-0.08,-0.06
OLS,RESIDUAL,1,0.74,0.53,0.19,0.78,0.29,0.51
OLS,RESIDUAL,1,0.55,0.43,0.47,0.52,-0.20,0.40
OLS,RESIDUAL,1,0.57,0.31,0.50,0.63,-0.25,0.16
OLS,RESIDUAL,1,0.64,0.22,0.38,0.55,-0.12,0.28
