Index,Year,Month,Banten,DIY,DKI Jakarta,West Java,Central Java,East Java
1,2008,1,0.65,1.25,2.37,1.55,1.33,1.59
2,2008,2,1.27,1.01,0.29,1.29,0.17,0.56
3,2008,3,0.55,0.56,0.82,0.53,1.14,1.26
4,2008,4,0.16,0.21,0.79,0.63,0.35,0.88
5,2008,5,2.04,1.08,1.51,1.24,1.21,1.19
6,2008,6,2.81,2.51,1.94,2.11,2.31,2.24
7,2008,7,0.6,1.31,1.26,1.35,1.45,1.37
8,2008,8,1.02,0.67,0.24,0.57,0.4,0.72
9,2008,9,1.43,1.15,1.02,1.19,0.74,0.86
10,2008,10,0.54,0.62,0.42,0.41,0.6,0.44
11,2008,11,-0.01,0.07,0.34,0.27,0.07,-0.09
12,2008,12,-0.13,-0.11,0.11,-0.53,-0.4,-0.29
13,2009,1,0.23,0.09,-0.24,-0.28,-0.11,-0.05
14,2009,2,0.11,0.32,-0.22,0.08,0.37,0.78
15,2009,3,0.06,0.18,0.33,0.2,0.51,0.35
16,2009,4,-0.21,-0.34,-0.15,-0.23,-0.11,-0.47
17,2009,5,0.31,0.27,0.17,0.02,0.18,0.02
18,2009,6,0.09,0.18,0.13,0.06,0.19,0.32
19,2009,7,0.15,0.32,0.36,0.38,0.36,0.28
20,2009,8,0.6,0.77,0.45,0.58,0.36,0.48
21,2009,9,1.34,0.8,0.91,0.9,1.14,1.2
22,2009,10,0.19,-0.03,0.12,0.13,0.3,0.13
23,2009,11,0.22,0.09,-0.05,-0.06,-0.21,0.04
24,2009,12,-0.25,0.24,0.51,0.22,0.3,0.49
25,2010,1,0.56,0.57,0.72,0.77,0.74,0.55
26,2010,2,0.61,0.31,0.14,0.38,0.4,0.31
27,2010,3,-0.47,0.13,0.07,-0.19,-0.23,-0.21
28,2010,4,0.12,0.25,0.22,0.2,0.27,0.19
29,2010,5,0.16,0.14,0.25,0.25,0.07,0.37
30,2010,6,1.14,1.26,0.73,1.04,0.98,0.92
31,2010,7,0.99,1.4,1.12,1.58,1.51,1.83
32,2010,8,0.89,0.43,0.99,0.71,0.46,0.82
33,2010,9,0.34,1.06,0.51,0.28,0.87,0.46
34,2010,10,0.53,0.28,0.22,0.02,0.06,0.02
35,2010,11,0.44,0.62,0.33,0.68,0.6,0.47
36,2010,12,0.63,0.72,0.76,0.73,0.95,1.02
37,2011,1,0.85,0.84,0.47,0.62,0.61,0.87
38,2011,2,0.29,0.1,0.21,0.16,-0.21,0.15
39,2011,3,-0.77,0.21,-0.01,-0.23,-0.25,-0.03
40,2011,4,0,-0.28,0.07,-0.54,-0.46,-0.44
41,2011,5,0.09,0.13,0.15,0.12,0.05,0.03
42,2011,6,0.35,0.26,0.43,0.45,0.45,0.54
43,2011,7,0.62,0.9,0.61,0.64,0.73,0.62
44,2011,8,1.08,0.63,1.15,0.54,0.58,0.93
45,2011,9,-0.02,0.19,0.13,0.05,0.41,0.44
46,2011,10,0.1,0.04,-0.26,0.14,-0.12,-0.16
